start time,request type (ie POST),latency,response code
1606517625472,GET,6158,200
1606517631630,GET,4967,200
1606517636597,GET,4424,200
1606517641021,GET,3957,200
1606517644978,GET,3899,200
1606517648877,GET,3185,200
1606517652062,GET,2833,200
1606517654895,GET,2056,200
1606517656951,GET,1944,200
1606517354902,GET,25230,200
1606517380132,GET,21662,200
1606517401794,GET,25127,200
1606517426921,GET,24305,200
1606517451226,GET,27846,200
1606517479072,GET,25537,200
1606517504609,GET,22390,200
1606517526999,GET,25600,200
1606517552599,GET,25875,200
1606517578474,GET,23870,200
1606517339002,GET,24720,200
1606517363722,GET,24632,200
1606517388354,GET,26326,200
1606517414680,GET,23146,200
1606517437826,GET,24852,200
1606517462678,GET,22536,200
1606517485214,GET,25622,200
1606517510836,GET,25624,200
1606517536460,GET,24735,200
1606517561195,GET,27386,200
1606517335761,GET,23946,200
1606517359707,GET,21209,200
1606517380916,GET,27956,200
1606517408872,GET,22174,200
1606517431046,GET,27525,200
1606517458571,GET,25215,200
1606517483786,GET,22725,200
